Generation,Individual_ID,Initial_Loss,Peak_Loss,Boundary_Loss,PDE_Loss,Trace_Loss
40,17,0.4060101265096609,0.006641947571872741,1.0019177251039791e-07,0.0,0.0002533934558317381
40,18,0.06249201016247857,0.03032123893625311,6.04527000923128e-08,0.0,0.00025472502714026093
40,19,0.3242042797743897,1.066425963673925e-05,3.7614250333189934e-08,0.0,0.00025706040959813203
40,20,0.26898511355573756,3.5769815916278035e-06,4.7763412917819525e-08,0.0,0.0002540925517567841
40,21,0.25326942133139674,4.3004459712013963e-05,1.962923028798039e-08,0.0,0.0002564747041542284
40,22,0.24893864401170898,2.339756797317807e-05,4.800889335898873e-08,0.0,0.00025711930109157733
40,23,0.2219414591948192,2.1504181971177333e-05,3.087245761494641e-08,0.0,0.0002575630054692674
40,24,0.2111087863314124,1.9053109749751878e-06,8.563385717569173e-08,0.0,0.0002544613238962578
40,25,0.1785505314322467,1.0718604634208476e-06,9.985819729629919e-08,0.0,0.00025799974951405626
40,26,0.563887135551778,0.0017309142253144534,8.806096946251558e-08,0.0,0.00025385130814700366
40,27,0.14805317589016506,3.9349420760979236e-08,6.8408121552391e-08,0.0,0.0002588904458487197
40,28,0.13196865918004322,5.305036035895288e-07,8.092435913696153e-08,0.0,0.00025840603819632114
40,29,0.13093546714639126,3.956069443649687e-06,6.123095282303698e-08,0.0,0.00025790719880043665
40,30,0.1302280990938101,0.023518314584942652,7.943281804265914e-08,0.0,0.0002537365932831301
40,31,0.12952597510232902,0.00021381880811033576,5.8540704545109535e-08,0.0,0.0002548393970662575
40,32,0.11348809172971823,5.911378813313931e-08,5.554444153792637e-08,0.0,0.0002587293340442414
40,33,0.10733335874815639,0.0007594634279830186,9.295465467549998e-08,0.0,0.0002541534315369119
40,34,0.10402136984211934,5.062135280156966e-06,7.877380856240143e-08,0.0,0.0002585072031320884
40,35,0.10398848973434267,0.0021080577744357243,9.051455134190844e-08,0.0,0.00025427710433465384
40,36,0.10038085814490545,5.765021046574425e-06,5.5222956560780165e-08,0.0,0.00025869830670256983
40,37,1.1733314055993058,6.964783059373596e-09,8.709904724920268e-08,0.0,0.00025644146006886424
40,38,0.05766010753569614,0.017997170108867526,7.653665371269584e-08,0.0,0.0002558788523429922
40,39,0.05805169213609876,0.013208252794767327,1.2091994603592996e-07,0.0,0.0002573889947995754
40,40,0.05820499526971272,0.001335351983397086,1.027529800085382e-07,0.0,0.0002583126761888751
40,41,0.05969000780617272,4.558527658940634e-05,1.7536388909567865e-07,0.0,0.0002578632944060902
40,42,5.46314935779203,8.088591080187006e-05,0.0,0.0,0.00025475632065129634
40,43,0.06072514795214649,0.0032180882915489317,5.511394418432805e-08,0.0,0.00025641998080161763
40,44,0.06078141212305729,0.00013274587130331726,8.346849891731238e-08,0.0,0.0002577009606982572
40,45,0.061267154021321296,0.01119995108065188,1.5463130537253425e-07,0.0,0.00025612887741225385
40,46,0.06131025440882423,0.01123725067300086,9.244468433757751e-08,0.0,0.00025599079363947884
40,47,0.06168156258780776,0.012020543825762864,4.7221322207966944e-08,0.0,0.00025854322519227
40,48,0.0994198739794121,0.004681841405474741,4.1615344080599734e-08,0.0,0.0002543781231347507
40,49,0.06225121045427539,0.00032228201841728166,1.3185741307263207e-07,0.0,0.00025707976385268386
40,50,0.9543170338209095,1.7952747356323477e-06,3.39714878948733e-08,0.0,0.0002559877036790619
40,51,0.8987076025352527,0.022538578620256728,8.024786409343157e-08,0.0,0.00025317287583625467
40,52,0.8596750395492417,0.00013507951026743762,3.976420764110324e-08,0.0,0.0002551302123424242
40,53,0.8287798788898512,2.2946159317110946e-06,4.216605498361423e-08,0.0,0.00026086451784405223
40,54,0.8180416682079745,0.025990108016819377,6.803243392320455e-08,0.0,0.0002534679276939047
40,55,0.7989210012691565,1.6316241800369848e-05,0.0,0.0,0.00025855321583000026
40,56,0.06232161423763359,0.00015231995012233795,1.117883204953351e-07,0.0,0.00025579245587589223
40,57,0.6680534963413536,9.13227500784901e-07,4.921439499711891e-08,0.0,0.0002584600967996162
40,58,0.5669759089284127,9.280648174712307e-08,1.8037759441946595e-07,0.0,0.00025809881840130013
40,59,0.06575050948601201,0.004339889004396766,6.111607993597986e-08,0.0,0.0002559000038345014
40,60,0.08033968841071931,0.0017098745095625624,7.067327635691652e-08,0.0,0.00025550566137389765
40,61,0.07949273576782229,9.654084918963995e-05,0.0,0.0,0.00025705084377130585
40,62,0.07929675164932956,0.0004988291936447644,5.6770557373388786e-08,0.0,0.0002570572966058023
40,63,0.0792949338699158,0.0006249598299027721,4.0760751349172677e-08,0.0,0.0002560225819768273
40,64,0.07923811179208587,6.880509087654352e-07,6.323885456030171e-08,0.0,0.00025904422284636126
40,65,0.07906906936114107,7.144401963155204e-05,7.14827986540829e-08,0.0,0.0002567644637906154
40,66,0.07850650778127027,0.00010523266972671507,7.82174132349764e-08,0.0,0.0002565350018220197
40,67,0.07686461836998212,0.0005612535763354013,4.790449570053451e-08,0.0,0.00025713318377924003
40,68,0.07405961882381158,0.002662076608139245,6.145365526391654e-08,0.0,0.0002576796921178825
40,69,0.06669075601772102,0.011919858599159571,0.0,0.0,0.0002608415315624877
40,70,0.065982258639155,0.00016100650113940083,9.161937154738586e-08,0.0,0.00025688871611405844
40,71,0.08056965456873953,7.860839484654655e-05,4.9765799732291054e-08,0.0,0.0002569736356778799
40,72,0.06564573710811335,0.00011555123938684983,9.962291258775736e-08,0.0,0.0002588321400317598
40,73,0.06539540571927074,4.534082688096294e-06,3.5014695467876706e-08,0.0,0.000259118836535097
40,74,0.06532105739478532,1.3143562652588432e-06,1.0493671698063069e-07,0.0,0.00025519299554936956
40,75,0.06490393850431908,0.0009272596258907862,6.428873767490853e-08,0.0,0.0002564058214424915
