Generation,Individual_ID,Initial_Loss,Peak_Loss,Boundary_Loss,Data_Loss,PDE_Loss
4,4,0.07776611065636614,3.38310594272583e-05,0.0,0.03467896952719573,0.0
4,5,0.15839362553737518,0.023777235010973622,0.0,0.020323340139997165,0.0
4,6,0.060451830847303586,0.0030953865194833815,0.0,0.026384601765597433,0.0
4,7,0.05483916138888529,0.02447473865026474,0.0,0.019745609132285638,0.0
4,8,0.04652259779661934,0.008786171875422251,0.0,0.022273966406972608,0.0
4,9,0.048484646368336326,0.0018420613198837827,0.0,0.026507419437949452,0.0
4,10,0.057385629429132584,0.0001470946479121431,0.0,0.03111535798966649,0.0
4,11,0.041696840476277176,0.0016339876591201904,0.0,0.028924010755379155,0.0
5,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
5,1,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
5,2,0.07776611065636614,3.38310594272583e-05,0.0,0.03467896952719573,0.0
5,3,0.15839362553737518,0.023777235010973622,0.0,0.020323340139997165,0.0
5,4,0.060451830847303586,0.0030953865194833815,0.0,0.026384601765597433,0.0
5,5,0.05483916138888529,0.02447473865026474,0.0,0.019745609132285638,0.0
5,6,0.04652259779661934,0.008786171875422251,0.0,0.022273966406972608,0.0
5,7,0.048484646368336326,0.0018420613198837827,0.0,0.026507419437949452,0.0
5,8,0.057385629429132584,0.0001470946479121431,0.0,0.03111535798966649,0.0
5,9,0.041696840476277176,0.0016339876591201904,0.0,0.028924010755379155,0.0
5,10,1.4080521006563615,0.0032584314677699604,0.0,0.024496845085641643,0.0
5,11,0.06499787480009986,2.9886105446816563e-06,0.0,0.038420220218303915,0.0
5,12,0.05850049416277153,2.587035569225639e-05,0.0,0.04433506645672012,0.0
5,13,0.057354374891504384,0.008652165120508194,0.0,0.02185121671768568,0.0
5,14,0.0745542003561731,0.0001814641304958473,0.0,0.02997822580308999,0.0
5,15,0.06486414520060113,0.004180269498087693,0.0,0.022682860591859963,0.0
5,16,0.052039012493617864,0.0016070757882593735,2.1445010471588106e-08,0.02521316092803183,0.0
5,17,0.07270967840395513,0.0006622762642438998,0.0,0.030765130192452493,0.0
6,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
6,1,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
6,2,0.07776611065636614,3.38310594272583e-05,0.0,0.03467896952719573,0.0
6,3,0.04652259779661934,0.008786171875422251,0.0,0.022273966406972608,0.0
6,4,0.048484646368336326,0.0018420613198837827,0.0,0.026507419437949452,0.0
6,5,0.057385629429132584,0.0001470946479121431,0.0,0.03111535798966649,0.0
6,6,0.041696840476277176,0.0016339876591201904,0.0,0.028924010755379155,0.0
